# Upcoming Events	Title	URL	City	Phone	Address	Metro ID	Metro Title
738	Austin Convention Center	http://www.austinconventioncenter.com/	Austin	(512) 404-4000	500 East Cesar Chavez Street	1	Austin
645	TBD					1	Austin
545	JW Marriott					1	Austin
525	The Creek and The Cave	http://creeklic.com/	Long Island City		10-93 Jackson Ave	10	NYC
517	Carnegie Hall	http://www.carnegiehall.org/	New York	(212) 632-0540	57th Street & 7th Avenue	10	NYC
503	FORO SHAKESPEARE	http://foroshakespeare.com/	Ciudad de México	5556 00 14	Zamora 7, Col. Condesa	44	la Ciudad de México
488	Hush Tours					10	NYC
485	PianoFight	http://www.pianofight.com/	San Francisco 		144 Taylor St	18	The Bay Area
483	iO Theater	http://chicago.ioimprov.com/	Chicago	773-880-0199	1501 N. Kingsbury	3	Chicago
451	Card Kingdom	http://www.cardkingdom.com/	Seattle	(206) 523-2273	5105 Leary Ave NW	9	Seattle
417	Kingston Mines	http://www.kingstonmines.com/	Chicago	773-477-4646	2548 N Halsted St	3	Chicago
360	The Legionnaire Saloon	http://legionnairesaloon.com/	Oakland		2272 Telegraph Avenue	18	The Bay Area
355	The Stone		New York		Avenue C & East 2nd Street	10	NYC
335	ImprovBoston	http://www.improvboston.com/	Cambridge		40 Prospect Street	25	Boston
300	Metropolitan Room		New York		34 West 22nd St.	10	NYC
294	Rockwood Music Hall: Stage 1	http://www.RockwoodMusicHall.com	New York	+1 (212) 477-4155	196 Allen St	10	NYC
292	Second City Hollywood Studio Theater					3	Chicago
265	Underground Wonder Bar	http://www.undergroundwonderbar.com/	Chicago	312-266-7761	710 N Clark St	3	Chicago
249	Luckenbach, TX	http://www.luckenbachtexas.com/	Fredericksburg	830-997-3224	412 Luckenbach Town Loop	1	Austin
244	Hilton Austin Downtown	http://www.hilton.com/en/hi/hotels/index.jhtml?ctyhocn=AUSCVHH	Austin	(512) 482-8000	500 E. 4th Street	1	Austin
237	UP Comedy Club	http://upcomedyclub.com/index.cfm	Chicago	(312) 337-3992	1608 N Wells St	3	Chicago
236	Unexpected Productions	http://unexpectedproductions.org/	Seattle		1428 Post Alley	9	Seattle
228	The Lounge Roy Arias Stages		NYC		300 West 43rd St.	10	NYC
227	El Rio	http://www.elriosf.com/	San Francisco	415-282-3325 	3158 Mission Street	18	The Bay Area
226	Fat Buddha Bar	http://www.fatbuddhabar.com/	New York		212 Avenue A	10	NYC
223	The Bloor Hot Docs Cinema	http://www.bloorcinema.com/	Toronto		506 Bloor St. W	29	Toronto
223	George W. Bush Presidential Center	http://www.bushcenter.org/	Dallas	(214) 200-4300	2943 SMU Blvd	11	Dallas / Ft. Worth
221	Comedy Bar	https://comedybar.ca/	Toronto		945 Bloor St. W	29	Toronto
217	B.B. King Blues Club & Grill	http://bbkingblues.com	New York	212-997-4144	237 West 42nd Street	10	NYC
214	Steppenwolf Theatre	http://www.steppenwolf.org/	Chicago	312-335-1650	1650 N Halsted St	3	Chicago
208	Majestic Theatre and Charline McCombs Empire Theatre	http://www.majesticempire.com	San Antonio	(210) 226-5700	224 E Houston St. and 226 N. St. Mary's St.	2	San Antonio
202	Books and Brews	http://www.booksnbrews.com/	Indianapolis	317-288-5136	9402 Uptown Drive, Suite 1400	42	Indianapolis
202	Springwater Supper Club & Lounge	http://www.thespringwater.com/Events.html	Nashville	615-320-0345	115 27th Ave. N.	24	Nashville
201	The Bard's Town	http://www.thebardstown.com/	Louisville	(502) 749-5275	1801 Bardstown Road	47	Louisville
197	Rockwood Music Hall: Stage 3					10	NYC
196	Rockwood Music Hall: Stage 2	http://www.RockwoodMusicHall.com	New York	+1 (212) 477-4155	196 Allen St	10	NYC
192	Magnet Theater	http://www.magnettheater.com/	New York		254 W. 29th Street	10	NYC
190	Zanies Comedy Club 	http://www.chicago.zanies.com/		(312) 337-4027	1548 North Wells Street	3	Chicago
190	Andy's Jazz Club	http://www.andysjazzclub.com/	Chicago	312-642-6805	11 E Hubbard St	3	Chicago
190	Riolo Dance Studio	http://www.riolodance.com/Pages/default.aspx	Indianapolis 	317-490-6739 	502 N. Capitol Ave.	42	Indianapolis
188	Gene Siskel Film Center 	http://www.siskelfilmcenter.org/		(312) 846-2600	164 North State Street	3	Chicago
187	Joe's Pub	http://www.joespub.com	New York		425 Lafayette Street	10	NYC
187	Goodman Theatre	http://www.goodmantheatre.org/	Chicago	312-443-3811	170 N Dearborn St	3	Chicago
186	Berkeley Street Theatre		Toronto		26 Berkeley Street	29	Toronto
